Sport,Oficial Name,Sportium,Codere,Betfair,Bwin
La Liga,Barcelona,FC Barcelona,Barcelona,FC Barcelona,Barcelona
La Liga,Atletico de Madrid,Atlético Madrid,Atl�tico,Atlético de Madrid,Atlético de Madrid
La Liga,Valencia,Valencia CF,Valencia,Valencia,Valencia
La Liga,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid
La Liga,Villarreal,Villarreal CF,Villarreal,Villarreal,Villarreal
La Liga,Sevilla,Sevilla FC,Sevilla,Sevilla,Sevilla
La Liga,Celta de Vigo,RC Celta,Celta,Celta de Vigo,Celta de Vigo
La Liga,Eibar,SD Eibar,Eibar,Eibar,Eibar
La Liga,Getafe,Getafe CF,Getafe,Getafe,Getafe
La Liga,Girona,Girona FC,Girona,Girona,Girona
La Liga,Betis,Real Betis,Betis,Betis,
La Liga,Athletic de Bilbao,Athletic Club,Athletic,Athletic de Bilbao,
La Liga,Leganes,CD Legan�s,Leganés,Leganés,Leganés
La Liga,Espa�ol,RCD Espanyol,Espanyol,Espanyol,
La Liga,Real sociedad,Real Sociedad,R. Sociedad,Real Sociedad,Real Sociedad
La Liga,Alaves,D.Alav�s,Alavés,Alavés,
La Liga,Levante,Levante UD,Levante,Levante,Levante
La Liga,Deportivo,RC Deportivo,Deportivo,Deportivo La Coru�a,
La Liga,Las Palmas,UD Las Palmas,Las Palmas,Las Palmas,UD Las Palmas
La Liga,Malaga,M�laga CF,Málaga,Málaga,Málaga
Premier,Manchester City,Manchester City,Man City,Manchester City,Manchester City
Premier,Manchester United,Manchester United,Man Utd,Manchester United,Manchester Utd
Premier,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea
Premier,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
Premier,Tottenham,Tottenham,Tottenham,Tottenham,
Premier,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
Premier,Leicester,Leicester,Leicester,Leicester,Leicester City
Premier,Burnley,Burnley,Burnley,Burnley,Burnley
Premier,Everton,Everton,Everton,Everton,Everton
Premier,Watford,Watford,Watford,Watford,Watford
Premier,West ham,West Ham United,West Ham,West Ham,
Premier,Bournemouth,Bournemouth,Bournemouth,Bournemouth,Bournemouth
Premier,Crystal Palace,Crystal Palace,C Palace,Crystal Palace,Crystal Palace
Premier,Huddersfield town,Huddersfield,Huddersfield ,Huddersfield,Huddersfield Town
Premier,Newcastle,Newcastle,Newcastle,Newcastle,
Premier,Brighton,Brighton,Brighton & Hove Albion,Brighton,
Premier,Stoke City,Stoke,Stoke,Stoke,Stoke City
Premier,Southampton,Southampton,Southampton,Southampton,Southampton
Premier,West Brom Albion,West Brom,West Brom,West Bromwich,
Premier,Swansea,Swansea,Swansea,Swansea,
Champions League,Manchester City,Manchester City,Man City,Manchester City,Manchester City
Champions League,Real Madrid,Real Madrid,Real Madrid,Real Madrid,
Champions League,Barcelona,FC Barcelona,Barcelona,FC Barcelona,Barcelona
Champions League,Sevilla,Sevilla FC,Sevilla,Sevilla,Sevilla
Champions League,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea
Champions League,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
Champions League,Tottenham,Tottenham,Tottenham,Tottenham,
Champions League,Manchester United,Manchester United,Man Utd,Manchester United,Manchester Utd
Champions League,Basel,Basilea,Basilea,FC Basel,Basilea
Champions League,CSKA Moscou,,,,
Champions League,Benfica,,,,
Champions League,PSG,PSG,PSG,PSG,
Champions League,Bayern Munich,Bayern de Munich,Bayern Munich,Bayern Múnich,Bayern de Múnich
Champions League,Celtic,,,,
Champions League,Anderlecht,,,,
Champions League,Roma,Roma,Roma,Roma,Roma
Champions League,Qarabag,,,,
Champions League,Juventus,Juventus,Juventus,Juventus,
Champions League,Sporting de Lisboa,,,,
Champions League,Olympiakos,,,,
Champions League,Spartak Moscow,,,,
Champions League,Shaktar,Shakhtar Donetsk,Shakhtar,Shakhtar,
Champions League,Napoli,,,,
Champions League,Feyenoord,,,,
Champions League,Besiktas,Besiktas,Besiktas JK,Besiktas,Besiktas
Champions League,Oporto,Oporto,Oporto,Oporto,Oporto
Champions League,Leipzig,,,,
Champions League,Monaco,,,,
Champions League,Dortmund,,,,
Champions League,Apoel,,,,
NBA,Boston Celtics,Boston Celtics,BOS Celtics,Boston Celtics,
NBA,Toronto Raptors,Toronto Raptors,TOR Raptors,Toronto Raptors,
NBA,Cleveland Cavaliers,Cleveland Cavaliers,CLE Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers
NBA,Miami Heat,Miami Heat,MIA Heat,Miami Heat,Miami Heat
NBA,Washington Wizards,Washington Wizards,WAS Wizards,Washington Wizards,Washington Wizards
NBA,Indiana Pacers,Indiana Pacers,IND Pacers,Indiana Pacers,
NBA,Milwaukee Bucks,Milwaukee Bucks,MIL Bucks,Milwaukee Bucks,Milwaukee Bucks
NBA,Philadelphia 76ers,Philadelphia 76ers,PHI 76ers,Philadelphia 76ers,Philadelphia 76ers
NBA,Detroit Pistons,Detroit Pistons,DET Pistons,Detroit Pistons,
NBA,New York Knicks,New York Knicks,NY Knicks,,
NBA,Charlotte Hornets,Charlotte Hornets,CHA Hornets,Charlotte Hornets,Charlotte Hornets
NBA,Chicago Bulls,Chicago Bulls,,Chicago Bulls,Chicago Bulls
NBA,Brooklyn Nets,Brooklyn Nets,,Brooklyn Nets,Brooklyn Nets
NBA,Atlanta Hawks,Atlanta Hawks,ATL Hawks,Atlanta Hawks,
NBA,Orlando Magic,Orlando Magic,ORL Magic,Orlando Magic,
NBA,Golden State Warriors,Golden State Warriors,GS Warriors,Golden State Warriors,
NBA,Houston Rockets,Houston Rockets,HOU Rockets,Houston Rockets,
